timestamp,U1,V1,W1
0,47.28,47.37,1.43
12,47.18,47.28,1.43
24,47.28,47.37,1.43
36,47.28,47.37,1.43
48,47.18,47.28,1.43
60,47.18,47.37,1.43
72,47.28,47.37,1.43
84,47.28,47.37,1.43
96,47.28,47.37,1.43
108,47.28,47.37,1.43
120,47.28,47.37,1.43
132,47.28,47.37,1.43
144,47.28,47.37,1.43
156,47.28,47.28,1.43
168,47.28,47.37,1.43
180,47.28,47.37,1.43
192,47.18,47.28,1.43
204,47.28,47.37,1.43
216,47.28,47.37,1.43
228,47.28,47.37,1.43
240,47.28,47.37,1.43
252,47.28,47.37,1.43
264,47.28,47.37,1.43
276,47.18,47.37,1.43
288,47.28,47.28,1.43
300,47.28,47.37,1.43
312,47.28,47.47,1.43
324,47.28,47.37,1.43
336,47.28,47.37,1.43
348,47.28,47.37,1.43
360,47.28,47.37,1.43
372,47.18,47.37,1.43
384,47.18,47.37,1.43
396,47.28,47.37,1.43
408,47.28,47.37,1.43
420,47.28,47.37,1.43
432,47.28,47.37,1.43
444,47.18,47.28,1.43
456,47.18,47.37,1.43
468,47.28,47.37,1.43
480,47.28,47.37,1.43
492,47.28,47.37,1.43
504,47.28,47.37,1.43
516,47.18,47.28,1.43
528,47.18,47.37,1.43
540,47.28,47.37,1.43
552,47.28,47.37,1.43
564,47.28,47.37,1.43
576,47.28,47.37,1.43
588,47.28,47.37,1.43
600,47.28,47.37,1.43
612,47.28,47.37,1.43
624,47.18,47.37,1.43
636,47.18,47.37,1.43
648,47.18,47.37,1.43
660,47.28,47.37,1.43
672,47.18,47.37,1.43
684,47.18,47.37,1.43
696,47.28,47.37,1.43
708,47.18,47.37,1.43
720,47.28,47.28,1.43
732,47.28,47.37,1.43
744,47.28,47.37,1.43
756,47.28,47.37,1.43
768,47.28,47.37,1.43
780,47.18,47.37,1.43
792,47.28,47.37,1.43
804,47.18,47.37,1.43
816,47.28,47.37,1.43
828,47.18,47.37,1.43
840,47.18,47.28,1.43
852,47.28,47.37,1.43
864,47.28,47.37,1.43
876,47.28,47.37,1.43
888,47.28,47.37,1.43
900,47.28,47.37,1.43
912,47.28,47.37,1.43
924,47.28,47.37,1.43
936,47.18,47.37,1.43
948,47.28,47.37,1.43
960,47.28,47.37,1.43
972,47.28,47.37,1.43
984,47.28,47.37,1.43
996,47.28,47.37,1.43
1008,47.18,47.37,1.43
1020,47.28,47.37,1.43
1032,47.18,47.37,1.43
1044,47.28,47.47,1.43
1056,47.28,47.37,1.43
1068,47.28,47.37,1.43
1080,47.18,47.37,1.43
1092,47.18,47.37,1.43
1104,47.28,47.37,1.43
1116,47.28,47.37,1.43
1128,47.28,47.37,1.43
1140,47.28,47.37,1.43
1152,47.28,47.37,1.43
1164,47.28,47.37,1.43
1176,47.28,47.37,1.43
1188,47.18,47.37,1.43
1200,47.28,47.37,1.43
1212,47.28,47.37,1.43
1224,47.28,47.37,1.43
1236,47.18,47.37,1.43
1248,47.28,47.37,1.43
1260,47.18,47.37,1.43
1272,47.28,47.28,1.43
1284,47.18,47.28,1.43
1296,47.18,47.37,1.43
1308,47.18,47.37,1.43
1320,47.18,47.37,1.43
1332,47.18,47.37,1.43
1344,47.18,47.37,1.43
1356,47.18,47.37,1.43
1368,47.28,47.37,1.43
1380,47.18,47.37,1.43
1392,47.28,47.37,1.43
1404,47.18,47.37,1.43
1416,47.28,47.37,1.43
1428,47.28,47.37,1.43
1440,47.18,47.37,1.43
1452,47.28,47.37,1.43
1464,47.28,47.37,1.43
1476,47.28,47.37,1.43
1488,47.28,47.37,1.43
1500,47.18,47.37,1.43
1512,47.18,47.28,1.43
1524,47.28,47.37,1.43
1536,47.28,47.37,1.43
1548,47.28,47.37,1.43
1560,47.28,47.37,1.43
1572,47.28,47.37,1.43
1584,47.28,47.37,1.43
1596,47.28,47.37,1.43
1608,47.28,47.37,1.43
1620,47.28,47.37,1.43
1632,47.28,47.37,1.43
1644,47.18,47.37,1.43
1656,47.18,47.37,1.43
1668,47.28,47.37,1.43
1680,47.18,47.37,1.43
1692,47.28,47.37,1.43
1704,47.28,47.47,1.43
1716,47.28,47.37,1.43
1728,47.28,47.37,1.43
1740,47.18,47.28,1.43
1752,47.28,47.37,1.43
1764,47.28,47.37,1.43
1776,47.28,47.37,1.43
1788,47.28,47.37,1.43
1800,47.28,47.37,1.43
1812,47.28,47.37,1.43
1824,47.28,47.28,1.43
1836,47.28,47.28,1.43
1848,47.18,47.37,1.43
1860,47.18,47.28,1.43
1872,47.18,47.37,1.43
1884,47.18,47.28,1.43
1896,47.28,47.28,1.43
1908,47.18,47.37,1.43
1920,47.28,47.28,1.43
1932,47.18,47.28,1.43
1944,47.18,47.37,1.43
1956,47.28,47.37,1.43
1968,47.18,47.37,1.43
1980,47.28,47.37,1.43
1992,47.28,47.37,1.43
2004,47.28,47.37,1.43
2016,47.28,47.37,1.43
2028,47.28,47.28,1.43
2040,47.18,47.28,1.43
2052,47.28,47.37,1.43
2064,47.28,47.37,1.43
2076,47.18,47.37,1.43
2088,47.18,47.28,1.43
2100,47.18,47.37,1.43
2112,47.28,47.37,1.43
2124,47.28,47.37,1.43
2136,47.28,47.37,1.43
2148,47.28,47.37,1.43
2160,47.28,47.28,1.43
2172,47.28,47.37,1.43
2184,47.28,47.28,1.43
2196,47.28,47.37,1.43
2208,47.28,47.37,1.43
2220,47.28,47.37,1.43
2232,47.18,47.37,1.43
2244,47.18,47.37,1.43
2256,47.18,47.37,1.43
2268,47.18,47.37,1.43
2280,47.28,47.37,1.43
2292,47.18,47.37,1.43
2304,47.18,47.37,1.43
2316,47.18,47.37,1.43
2328,47.28,47.37,1.43
2340,47.18,47.37,1.43
2352,47.18,47.28,1.43
2364,47.28,47.28,1.43
2376,47.18,47.37,1.43
2388,47.28,47.37,1.43
2400,47.28,47.28,1.43
2412,47.28,47.37,1.43
2424,47.28,47.37,1.43
2436,47.28,47.37,1.43
2448,47.18,47.37,1.43
2460,47.18,47.28,1.43
2472,47.28,47.28,1.43
2484,47.28,47.37,1.43
2496,47.28,47.37,1.43
2508,47.28,47.28,1.43
2520,47.28,47.37,1.43
2532,47.28,47.37,1.43
2544,47.28,47.37,1.43
2556,47.28,47.37,1.43
2568,47.18,47.37,1.43
2580,47.28,47.37,1.43
2592,47.28,47.37,1.43
2604,47.28,47.37,1.43
2616,47.28,47.47,1.43
2628,47.28,47.37,1.43
2640,47.28,47.37,1.43
2652,47.28,47.37,1.43
2664,47.28,47.37,1.43
2676,47.18,47.37,1.43
2688,47.18,47.37,1.43
2700,47.18,47.28,1.43
2712,47.18,47.37,1.43
2724,47.18,47.37,1.43
2736,47.28,47.37,1.43
2748,47.28,47.37,1.43
2760,47.18,47.37,1.43
2772,47.28,47.37,1.43
2784,47.28,47.37,1.43
2796,47.28,47.37,1.43
2808,47.18,47.37,1.43
2820,47.28,47.37,1.43
2832,47.28,47.37,1.43
2844,47.28,47.37,1.43
2856,47.18,47.37,1.43
2868,47.28,47.37,1.43
2880,47.28,47.37,1.43
2892,47.28,47.37,1.43
2904,47.28,47.28,1.43
2916,47.28,47.28,1.43
2928,47.18,47.28,1.43
2940,47.18,47.37,1.43
2952,47.18,47.37,1.43
2964,47.28,47.37,1.43
2976,47.28,47.37,1.43
2988,47.18,47.37,1.43
3000,47.18,47.37,1.43
3012,47.18,47.37,1.43
3024,47.28,47.37,1.43
3036,47.28,47.37,1.43
3048,47.28,47.37,1.43
3060,47.18,47.37,1.43
3072,47.28,47.37,1.43
3084,47.28,47.37,1.43
3096,47.18,47.37,1.43
3108,47.28,47.37,1.43
3120,47.18,47.37,1.43
3132,47.28,47.37,1.43
3144,47.28,47.37,1.43
3156,47.28,47.37,1.43
3168,47.18,47.37,1.43
3180,47.28,47.37,1.43
3192,47.28,47.37,1.43
3204,47.28,47.37,1.43
3216,47.18,47.37,1.43
3228,47.28,47.37,1.43
3240,47.18,47.28,1.43
3252,47.28,47.37,1.43
3264,47.18,47.28,1.43
3276,47.28,47.37,1.43
3288,47.28,47.37,1.43
3300,47.28,47.28,1.43
3312,47.28,47.37,1.43
3324,47.28,47.37,1.43
3336,47.28,47.37,1.43
3348,47.28,47.37,1.43
3360,47.28,47.37,1.43
3372,47.28,47.37,1.43
3384,47.28,47.37,1.43
3396,47.28,47.28,1.43
3408,47.28,47.37,1.43
3420,47.28,47.37,1.43
3432,47.28,47.28,1.43
3444,47.28,47.37,1.43
3456,47.28,47.37,1.43
3468,47.28,47.37,1.43
3480,47.28,47.37,1.43
3492,47.28,47.28,1.43
3504,47.18,47.37,1.43
3516,47.28,47.37,1.43
3528,47.28,47.37,1.43
3540,47.28,47.37,1.43
3552,47.18,47.37,1.43
3564,47.28,47.37,1.43
3576,47.28,47.37,1.43
3588,47.28,47.37,1.43
3600,47.28,47.47,1.43
3612,47.28,47.37,1.43
3624,47.18,47.37,1.43
3636,47.18,47.37,1.43
3648,47.28,47.37,1.43
3660,47.28,47.37,1.43
3672,47.18,47.37,1.43
3684,47.28,47.37,1.43
3696,47.28,47.37,1.43
3708,47.28,47.37,1.43
3720,47.28,47.37,1.43
3732,47.28,47.37,1.43
3744,47.28,47.37,1.43
3756,47.28,47.37,1.43
3768,47.28,47.37,1.43
3780,47.28,47.37,1.43
3792,47.28,47.37,1.43
3804,47.28,47.37,1.43
3816,47.28,47.37,1.43
3828,47.28,47.37,1.43
3840,47.28,47.37,1.43
3852,47.28,47.28,1.43
3864,47.28,47.37,1.43
3876,47.28,47.37,1.43
3888,47.28,47.37,1.43
3900,47.28,47.37,1.43
3912,47.28,47.37,1.43
3924,47.28,47.37,1.43
3936,47.18,47.37,1.43
3948,47.18,47.37,1.43
3960,47.28,47.37,1.43
3972,47.18,47.28,1.43
3984,47.28,47.37,1.43
3996,47.18,47.37,1.43
4008,47.18,47.37,1.43
4020,47.28,47.37,1.43
4032,47.18,47.37,1.43
4044,47.28,47.37,1.43
4056,47.28,47.37,1.43
4068,47.18,47.37,1.43
4080,47.18,47.37,1.43
4092,47.28,47.37,1.43
4104,47.28,47.37,1.43
4116,47.28,47.28,1.43
4128,47.28,47.37,1.43
4140,47.28,47.37,1.43
4152,47.28,47.37,1.43
4164,47.28,47.37,1.43
4176,47.28,47.37,1.43
4188,47.28,47.37,1.43
4200,47.18,47.28,1.43
4212,47.28,47.37,1.43
4224,47.28,47.37,1.43
4236,47.28,47.37,1.43
4248,47.28,47.37,1.43
4260,47.28,47.37,1.43
4272,47.28,47.37,1.43
4284,47.18,47.37,1.43
4296,47.28,47.37,1.43
4308,47.28,47.37,1.43
4320,47.28,47.37,1.43
4332,47.28,47.28,1.43
4344,47.28,47.37,1.43
4356,47.28,47.37,1.43
4368,47.28,47.37,1.43
4380,47.28,47.37,1.43
4392,47.28,47.37,1.43
4404,47.28,47.37,1.43
4416,47.28,47.37,1.43
4428,47.28,47.37,1.43
4440,47.28,47.37,1.43
4452,47.28,47.37,1.43
4464,47.28,47.37,1.43
4476,47.18,47.37,1.43
4488,47.28,47.37,1.43
4500,47.28,47.37,1.43
4512,47.28,47.37,1.43
4524,47.28,47.37,1.43
4536,47.28,47.37,1.43
4548,47.28,47.37,1.43
4560,47.28,47.37,1.43
4572,47.28,47.37,1.43
4584,47.28,47.37,1.43
4596,47.28,47.37,1.43
4608,47.28,47.37,1.43
4620,47.28,47.37,1.43
4632,47.18,47.37,1.43
4644,47.28,47.37,1.43
4656,47.18,47.37,1.43
4668,47.18,47.37,1.43
4680,47.28,47.37,1.43
4692,47.28,47.37,1.43
4704,47.28,47.37,1.43
4716,47.28,47.37,1.43
4728,47.28,47.37,1.43
4740,47.28,47.37,1.43
4752,47.28,47.37,1.43
4764,47.28,47.37,1.43
4776,47.28,47.37,1.43
4788,47.28,47.37,1.43
4800,47.28,47.37,1.43
4812,47.18,47.47,1.43
4824,47.28,47.37,1.43
4836,47.28,47.37,1.43
4848,47.28,47.37,1.43
4860,47.28,47.37,1.43
4872,47.28,47.37,1.43
4884,47.28,47.37,1.43
4896,47.28,47.28,1.43
4908,47.28,47.37,1.43
4920,47.18,47.37,1.43
4932,47.28,47.37,1.43
4944,47.28,47.37,1.43
4956,47.28,47.37,1.43
4968,47.28,47.37,1.43
4980,47.28,47.37,1.43
4992,47.28,47.37,1.43
