timestamp,U1,V1,W1
0,47.28,47.37,46.90
12,47.28,47.37,46.90
24,47.28,47.37,46.90
36,47.28,47.37,46.90
48,47.28,47.37,46.90
60,47.28,47.37,46.90
72,47.28,47.47,47.00
84,47.37,47.37,46.90
96,47.37,47.47,46.90
108,47.28,47.37,46.90
120,47.28,47.47,46.90
132,47.28,47.37,47.00
144,47.28,47.47,46.90
156,47.28,47.47,46.90
168,47.37,47.47,47.00
180,47.28,47.47,46.90
192,47.28,47.47,46.90
204,47.37,47.47,47.00
216,47.28,47.37,47.00
228,47.37,47.47,47.00
240,47.37,47.47,46.90
252,47.28,47.37,47.00
264,47.37,47.47,47.00
276,47.37,47.47,47.00
288,47.28,47.37,46.90
300,47.37,47.47,46.90
312,47.28,47.37,46.90
324,47.37,47.37,47.00
336,47.28,47.37,46.90
348,47.37,47.47,47.00
360,47.28,47.37,46.90
372,47.28,47.37,47.00
384,47.28,47.37,46.90
396,47.28,47.47,47.00
408,47.28,47.47,47.00
420,47.37,47.37,46.90
432,47.37,47.47,46.90
444,47.28,47.37,46.90
456,47.28,47.47,47.00
468,47.37,47.47,46.90
480,47.37,47.37,46.90
492,47.37,47.37,46.90
504,47.28,47.37,47.00
516,47.37,47.47,47.00
528,47.28,47.37,46.90
540,47.28,47.37,47.00
552,47.28,47.47,46.90
564,47.28,47.37,46.90
576,47.28,47.47,46.90
588,47.28,47.37,47.00
600,47.28,47.47,47.00
612,47.37,47.47,47.00
624,47.28,47.47,47.00
636,47.37,47.47,47.00
648,47.37,47.37,47.00
660,47.28,47.47,46.90
672,47.37,47.47,47.00
684,47.37,47.47,47.00
696,47.37,47.37,46.90
708,47.37,47.47,47.00
720,47.37,47.47,47.00
732,47.37,47.47,47.00
744,47.28,47.47,47.00
756,47.28,47.37,46.90
768,47.37,47.47,47.00
780,47.28,47.47,47.00
792,47.28,47.47,47.00
804,47.28,47.47,47.00
816,47.37,47.37,47.00
828,47.28,47.37,47.00
840,47.28,47.37,47.00
852,47.28,47.47,47.00
864,47.37,47.47,47.00
876,47.28,47.47,47.00
888,47.37,47.37,47.00
900,47.37,47.37,47.00
912,47.37,47.47,46.90
924,47.37,47.37,47.00
936,47.37,47.47,46.90
948,47.28,47.47,47.00
960,47.37,47.47,47.09
972,47.37,47.47,47.00
984,47.37,47.47,46.90
996,47.37,47.47,46.90
1008,47.28,47.37,46.90
1020,47.28,47.37,47.00
1032,47.28,47.37,46.90
1044,47.37,47.47,47.00
1056,47.37,47.47,46.90
1068,47.37,47.37,46.90
1080,47.28,47.47,47.00
1092,47.37,47.47,47.00
1104,47.37,47.47,47.00
1116,47.37,47.47,46.90
1128,47.37,47.37,47.00
1140,47.37,47.47,47.00
1152,47.37,47.47,47.00
1164,47.37,47.47,47.00
1176,47.37,47.47,47.00
1188,47.37,47.37,47.00
1200,47.37,47.47,47.00
1212,47.28,47.37,47.00
1224,47.28,47.47,46.90
