timestamp,U1,V1,W1
0,331.32,47.00,1.43
13,331.64,47.00,1.43
25,331.64,47.00,1.43
37,331.64,47.00,1.43
49,331.64,47.00,1.43
61,331.64,47.00,1.43
73,331.64,47.00,1.43
85,331.64,47.00,1.43
97,331.64,46.90,1.43
109,331.64,47.00,1.43
121,331.64,47.00,1.43
133,331.64,47.00,1.43
145,331.32,47.00,1.43
157,331.32,47.00,1.43
169,331.64,47.09,1.43
181,331.32,47.00,1.43
193,331.32,47.00,1.43
205,331.32,47.00,1.43
217,331.32,47.00,1.43
229,331.32,46.90,1.43
241,331.32,47.00,1.43
253,331.32,47.00,1.43
265,331.32,47.00,1.43
277,331.64,47.00,1.43
289,331.32,47.00,1.43
301,331.32,47.00,1.43
313,331.32,47.00,1.43
325,331.32,47.00,1.43
337,331.32,47.00,1.43
349,331.32,47.00,1.43
361,331.64,47.00,1.43
373,331.32,47.00,1.43
385,331.32,47.00,1.43
397,331.32,47.00,1.43
409,331.32,47.00,1.43
421,331.32,47.00,1.43
433,331.32,47.00,1.43
445,331.32,47.00,1.43
457,331.32,47.09,1.43
469,331.32,47.00,1.43
481,331.32,47.00,1.43
493,331.32,47.00,1.43
505,331.32,46.90,1.43
517,331.32,47.00,1.43
529,331.64,47.00,1.43
541,331.32,47.00,1.43
553,331.32,47.00,1.43
565,331.32,47.00,1.43
577,331.32,47.00,1.43
589,331.00,46.90,1.43
601,331.32,47.00,1.43
613,331.00,47.00,1.43
625,331.32,47.00,1.43
637,331.32,47.00,1.43
649,331.64,47.00,1.43
661,331.32,46.90,1.43
673,331.32,47.00,1.43
685,331.32,47.00,1.43
697,331.32,47.00,1.43
709,331.32,47.00,1.43
721,331.32,47.09,1.43
733,331.32,47.00,1.43
745,331.64,47.00,1.43
757,331.32,47.00,1.43
769,331.64,47.00,1.43
781,331.32,47.00,1.43
793,331.64,47.00,1.43
805,331.64,47.00,1.43
817,331.32,47.00,1.43
829,331.32,47.00,1.43
841,331.32,47.00,1.43
853,331.32,47.00,1.43
865,331.32,47.00,1.43
877,331.32,47.00,1.43
889,331.32,47.00,1.43
901,331.32,47.00,1.43
913,331.32,46.90,1.43
925,331.32,47.00,1.43
937,331.64,47.00,1.43
949,331.32,47.00,1.43
961,331.64,47.00,1.43
973,331.64,47.00,1.43
985,331.64,47.00,1.43
997,331.32,47.00,1.43
1009,331.64,47.00,1.43
1021,331.32,47.00,1.43
